SMILES,Protein,ChEMBL ID,Name,canonical_smiles,Molecular Weight,LogP,HBA,HBD,TPSA,target_chembl_id,binding_affinity,standard_type,standard_value,standard_units,not_measured
Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,Estrogen receptor,CHEMBL44,,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,350.47,3.83,6.0,2.0,65.97,CHEMBL206,0.0,,,,1
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,Epidermal growth factor receptor,CHEMBL86531,,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,415.47,2.05,4.0,4.0,142.35,CHEMBL203,4.54,IC50,29100.0,nM,0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,Vascular endothelial growth factor receptor 2,CHEMBL86531,,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,415.47,2.05,4.0,4.0,142.35,CHEMBL279,6.22,IC50,600.0,nM,0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,Estrogen receptor,CHEMBL44,,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,415.47,2.05,4.0,4.0,142.35,CHEMBL206,0.0,,,,1
CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,Epidermal growth factor receptor,CHEMBL422347,,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,531.66,5.53,9.0,2.0,106.1,CHEMBL203,7.09,IC50,82.0,nM,0
CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,Epidermal growth factor receptor,CHEMBL422347,,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,531.66,5.53,9.0,2.0,106.1,CHEMBL203,5.8,IC50,1600.0,nM,0
CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,531.66,5.53,9.0,2.0,106.1,CHEMBL279,0.0,,,,1
CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,Estrogen receptor,CHEMBL44,,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,531.66,5.53,9.0,2.0,106.1,CHEMBL206,0.0,,,,1
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,Epidermal growth factor receptor,CHEMBL30973,,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,450.34,4.67,5.0,2.0,81.05,CHEMBL203,6.51,IC50,310.0,nM,0
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,Epidermal growth factor receptor,CHEMBL30973,,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,450.34,4.67,5.0,2.0,81.05,CHEMBL203,6.91,IC50,122.9,nM,0
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,Epidermal growth factor receptor,CHEMBL30973,,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,450.34,4.67,5.0,2.0,81.05,CHEMBL203,7.43,IC50,37.2,nM,0
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,450.34,4.67,5.0,2.0,81.05,CHEMBL279,0.0,,,,1
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,Estrogen receptor,CHEMBL44,,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,450.34,4.67,5.0,2.0,81.05,CHEMBL206,0.0,,,,1
Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,Epidermal growth factor receptor,CHEMBL54471,,Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,279.3,3.2,4.0,2.0,81.32,CHEMBL203,6.06,IC50,880.0,nM,0
Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,Epidermal growth factor receptor,CHEMBL54471,,Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,279.3,3.2,4.0,2.0,81.32,CHEMBL203,4.82,IC50,15135.61,nM,0
Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,Epidermal growth factor receptor,CHEMBL54471,,Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,279.3,3.2,4.0,2.0,81.32,CHEMBL203,5.16,IC50,7000.0,nM,0
Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,279.3,3.2,4.0,2.0,81.32,CHEMBL279,0.0,,,,1
Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,Estrogen receptor,CHEMBL44,,Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,279.3,3.2,4.0,2.0,81.32,CHEMBL206,0.0,,,,1
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Epidermal growth factor receptor,CHEMBL356324,,N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,384.37,2.35,8.0,4.0,162.64,CHEMBL203,6.42,IC50,380.0,nM,0
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Epidermal growth factor receptor,CHEMBL356324,,N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,384.37,2.35,8.0,4.0,162.64,CHEMBL203,4.92,IC50,12000.0,nM,0
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Epidermal growth factor receptor,CHEMBL356324,,N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,384.37,2.35,8.0,4.0,162.64,CHEMBL203,5.7,IC50,2000.0,nM,0
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,384.37,2.35,8.0,4.0,162.64,CHEMBL279,0.0,,,,1
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Estrogen receptor,CHEMBL44,,N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)/C(C#N)=C/c1ccc(O)c(O)c1,384.37,2.35,8.0,4.0,162.64,CHEMBL206,0.0,,,,1
c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,Epidermal growth factor receptor,CHEMBL396079,,c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,470.54,2.77,10.0,2.0,103.42,CHEMBL203,6.3,IC50,500.0,nM,0
c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,470.54,2.77,10.0,2.0,103.42,CHEMBL279,0.0,,,,1
c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,Estrogen receptor,CHEMBL44,,c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,470.54,2.77,10.0,2.0,103.42,CHEMBL206,0.0,,,,1
N#CC(C#N)=C1CCc2c1ccc(O)c2O,Epidermal growth factor receptor,CHEMBL57300,,N#CC(C#N)=C1CCc2c1ccc(O)c2O,212.21,1.84,4.0,2.0,88.04,CHEMBL203,5.16,IC50,7000.0,nM,0
N#CC(C#N)=C1CCc2c1ccc(O)c2O,Vascular endothelial growth factor receptor 2,CHEMBL86531,,N#CC(C#N)=C1CCc2c1ccc(O)c2O,212.21,1.84,4.0,2.0,88.04,CHEMBL279,0.0,,,,1
N#CC(C#N)=C1CCc2c1ccc(O)c2O,Estrogen receptor,CHEMBL44,,N#CC(C#N)=C1CCc2c1ccc(O)c2O,212.21,1.84,4.0,2.0,88.04,CHEMBL206,0.0,,,,1
COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL96065,,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,407.21,4.0,5.0,1.0,56.27,CHEMBL203,9.05,IC50,0.89,nM,0
COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,Vascular endothelial growth factor receptor 2,CHEMBL86531,,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,407.21,4.0,5.0,1.0,56.27,CHEMBL279,0.0,,,,1
COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,Estrogen receptor,CHEMBL44,,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,407.21,4.0,5.0,1.0,56.27,CHEMBL206,0.0,,,,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Epidermal growth factor receptor,CHEMBL31965,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.95,4.39,7.0,2.0,88.61,CHEMBL203,8.85,Kd,1.4,nM,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Epidermal growth factor receptor,CHEMBL31965,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.95,4.39,7.0,2.0,88.61,CHEMBL203,8.13,IC50,7.4,nM,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Epidermal growth factor receptor,CHEMBL31965,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.95,4.39,7.0,2.0,88.61,CHEMBL203,8.82,IC50,1.5,nM,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Epidermal growth factor receptor,CHEMBL31965,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.95,4.39,7.0,2.0,88.61,CHEMBL203,7.13,IC50,74.0,nM,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Vascular endothelial growth factor receptor 2,CHEMBL86531,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.95,4.39,7.0,2.0,88.61,CHEMBL279,0.0,,,,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Estrogen receptor,CHEMBL44,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,485.95,4.39,7.0,2.0,88.61,CHEMBL206,0.0,,,,1
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,Epidermal growth factor receptor,CHEMBL248220,,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,421.5,5.66,5.0,1.0,67.17,CHEMBL203,6.92,Ki,120.0,nM,0
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,Epidermal growth factor receptor,CHEMBL248220,,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,421.5,5.66,5.0,1.0,67.17,CHEMBL203,5.79,IC50,1610.0,nM,0
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,Vascular endothelial growth factor receptor 2,CHEMBL248220,,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,421.5,5.66,5.0,1.0,67.17,CHEMBL279,5.58,Ki,2600.0,nM,0
COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,Estrogen receptor,CHEMBL44,,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1,421.5,5.66,5.0,1.0,67.17,CHEMBL206,0.0,,,,1
O=CN/C=C/c1cc(O)ccc1O,Epidermal growth factor receptor,CHEMBL47986,ERBSTATIN,O=CN/C=C/c1cc(O)ccc1O,179.18,0.81,3.0,3.0,69.56,CHEMBL203,5.52,IC50,3000.0,nM,0
O=CN/C=C/c1cc(O)ccc1O,Epidermal growth factor receptor,CHEMBL47986,ERBSTATIN,O=CN/C=C/c1cc(O)ccc1O,179.18,0.81,3.0,3.0,69.56,CHEMBL203,4.85,IC50,14000.0,nM,0
O=CN/C=C/c1cc(O)ccc1O,Epidermal growth factor receptor,CHEMBL47986,ERBSTATIN,O=CN/C=C/c1cc(O)ccc1O,179.18,0.81,3.0,3.0,69.56,CHEMBL203,5.7,IC50,2000.0,nM,0
O=CN/C=C/c1cc(O)ccc1O,Vascular endothelial growth factor receptor 2,CHEMBL86531,ERBSTATIN,O=CN/C=C/c1cc(O)ccc1O,179.18,0.81,3.0,3.0,69.56,CHEMBL279,0.0,,,,1
O=CN/C=C/c1cc(O)ccc1O,Estrogen receptor,CHEMBL44,ERBSTATIN,O=CN/C=C/c1cc(O)ccc1O,179.18,0.81,3.0,3.0,69.56,CHEMBL206,0.0,,,,1
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,Epidermal growth factor receptor,CHEMBL299622,,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,331.18,2.97,6.0,2.0,75.62,CHEMBL203,7.52,IC50,30.0,nM,0
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,Epidermal growth factor receptor,CHEMBL299622,,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,331.18,2.97,6.0,2.0,75.62,CHEMBL203,9.11,IC50,0.7762,nM,0
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,Epidermal growth factor receptor,CHEMBL299622,,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,331.18,2.97,6.0,2.0,75.62,CHEMBL203,9.12,IC50,0.76,nM,0
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,331.18,2.97,6.0,2.0,75.62,CHEMBL279,0.0,,,,1
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,Estrogen receptor,CHEMBL44,,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,331.18,2.97,6.0,2.0,75.62,CHEMBL206,0.0,,,,1
CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,Epidermal growth factor receptor,CHEMBL178922,,CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,535.05,4.8,8.0,2.0,102.75,CHEMBL203,4.9,IC50,12700.0,nM,0
CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,Vascular endothelial growth factor receptor 2,CHEMBL86531,,CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,535.05,4.8,8.0,2.0,102.75,CHEMBL279,0.0,,,,1
CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,Estrogen receptor,CHEMBL44,,CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,535.05,4.8,8.0,2.0,102.75,CHEMBL206,0.0,,,,1
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,7.16,IC50,70.0,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,10.6,IC50,0.025,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,8.22,IC50,6.0,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,10.54,IC50,0.029,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,8.4,IC50,4.0,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,7.52,IC50,30.0,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,7.55,IC50,28.0,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Epidermal growth factor receptor,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL203,8.59,IC50,2.6,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Vascular endothelial growth factor receptor 2,CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL279,5.83,IC50,1489.0,nM,0
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,Estrogen receptor,CHEMBL44,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,360.21,4.15,5.0,1.0,56.27,CHEMBL206,0.0,,,,1
COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC1CCN(C)CC1,Epidermal growth factor receptor,CHEMBL203936,,COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC1CCN(C)CC1,416.88,4.65,6.0,1.0,59.51,CHEMBL203,6.65,IC50,225.0,nM,0
COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC1CCN(C)CC1,Vascular endothelial growth factor receptor 2,CHEMBL86531,,COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC1CCN(C)CC1,416.88,4.65,6.0,1.0,59.51,CHEMBL279,0.0,,,,1
COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC1CCN(C)CC1,Estrogen receptor,CHEMBL44,,COc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1OC1CCN(C)CC1,416.88,4.65,6.0,1.0,59.51,CHEMBL206,0.0,,,,1
O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,Epidermal growth factor receptor,CHEMBL79970,,O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,444.56,5.35,5.0,4.0,106.18,CHEMBL203,5.03,IC50,9300.0,nM,0
O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,Vascular endothelial growth factor receptor 2,CHEMBL86531,,O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,444.56,5.35,5.0,4.0,106.18,CHEMBL279,0.0,,,,1
O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,Estrogen receptor,CHEMBL44,,O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,444.56,5.35,5.0,4.0,106.18,CHEMBL206,0.0,,,,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Epidermal growth factor receptor,CHEMBL69629,,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,525.97,3.2,7.0,4.0,124.27,CHEMBL203,8.19,IC50,6.5,nM,0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Epidermal growth factor receptor,CHEMBL69629,,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,525.97,3.2,7.0,4.0,124.27,CHEMBL203,5.69,IC50,2050.0,nM,0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Epidermal growth factor receptor,CHEMBL69629,,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,525.97,3.2,7.0,4.0,124.27,CHEMBL203,7.4,IC50,40.0,nM,0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Vascular endothelial growth factor receptor 2,CHEMBL86531,,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,525.97,3.2,7.0,4.0,124.27,CHEMBL279,0.0,,,,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Estrogen receptor,CHEMBL44,,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,525.97,3.2,7.0,4.0,124.27,CHEMBL206,0.0,,,,1
